Aanbieding in €,Adres,Adres_google,Categorie,Eindcijfer,Eindconclusie,Gewicht (gram),Naam,Plaats,Plaats op ranglijst,Prijs per stuk (euro),Vetpercentage
"12 voor 10,00",Nieuwestad,"Nieuwestad, Leeuwarden, Nederland",Voldoende,6.5,"Een taaie korst bij de eerste hap is nooit een prettige ervaring. De smaak is vlak en je vraagt je af wat je eigenlijk aan het eten bent. Bakker, verdiep je in het product oliebol en het komt goed.",80.0,Hollandse Gebakkraam Jopie Oudsen,Leeuwarden,79.0,0.9,8.66
"10 voor 8,00",Westkruiskade 60,"Westkruiskade 60, Rotterdam, Nederland",Voldoende,6.5,"Steeds meer ijssalons stappen in de stille wintermaanden over op oliebollen. Dat lijkt gemakkelijk, maar oliebollen bakken is een vak apart. Sommige bollen niet gaar, vulling aan één kant, bijsmaakjes.",94.0,De IJssalon,Rotterdam,80.0,0.9,15.0
"10 voor 8,00",Koningin Julianalaan,"Koningin Julianalaan, Voorburg, Nederland",Voldoende,6.5,"De korst is aan de taaie kant. Wel een mooie luchtige structuur. De hoeveelheid olie stoort niet, het is een oliebol. Meer vulling zou de smaak ten goede komen en dan is een 8 zo gehaald.",74.0,Gebakkraam Martin Verwijk,Voorburg,81.0,0.9,10.6
"11 voor 7,50","Ridderhof, parkeerterrein winkelcentrum","Ridderhof 25, Ridderkerk, Nederland",Voldoende,6.5,"Er zijn technieken om de korst goed knapperig te krijgen en die moet Seth maar eens onder de knie krijgen. Want nu komen we niet verder dan een kleffe, natte, te zoete oliebol.",78.0,Oliebollenkraam Seth,Ridderkerk,82.0,0.78,9.15
None,Plein 5,"Plein 5, 4543 BH Zaamslag",Voldoende,6.5,Ook Dees lijkt zich in de oliebol te verslikken. Proeven we nu citrus en kruidnagel? Lastig te bepalen. Geen oliebol met een echt eigen signatuur of een die je je lang herinnert.,93.0,Echte Bakker Dees,Zaamslag,83.0,0.8,9.98
None,Princestraat 4,"Princestraat 4, Katwijk, Nederland",Voldoende,6.5,"Van Maanen blijft relatief laag steken, vooral omdat veel panelleden een afwijkende smaak van de olie constateren. De structuur is prachtig, iets meer vruchten mag. Vrij zachte korst.",91.0,Meesterbakker Van Maanen,Katwijk,84.0,0.95,13.6
"10 voor 8,00",Ophelialaan,"Ophelialaan, Aalsmeer, Nederland",Voldoende,6.5,Aan de donkere kant. Mede daardoor ook verbrande vruchten die voor een bittere smaak zorgen. Vaktechnisch een kwestie van zorgvuldiger werken en dan komt alles goed.,87.0,Hollandse Gebakkraam Albers,Aalsmeer,85.0,1.0,8.82
"13 voor 10,00",Museumplein,"Museumplein, Drachten, Nederland",Voldoende,6.5,Al tijdens het transport laat het overdadige gebruik van vanillesuiker geursporen achter. Dat maskeert ook andere smaakgebreken. Nu toch vooral klef en zoet.,83.0,Hollandse Gebakkraam Sipkema,Drachten,86.0,1.0,7.28
None,Hoofdstraat  97,"Hoofdstraat  97, De Lier, Nederland",Voldoende,6.5,"Het is al vaker gezegd: te veel smaakjes maken een oliebol echt niet lekkerder. Als de korst dan ook nog knapperigheid ontbeert, is het onmogelijk hoog te eindigen. Uithuilen en opnieuw beginnen.",88.0,Bakkerij  Van den Berg,De Lier,87.0,0.85,9.39
"13 voor 10,00",Bargelaan (achterzijde Centraal Station),"52°10'01.2""N 4°28'52.2""E",Voldoende,6.5,"Een kraam zoals je die nog te vaak tegenkomt. Als het meezit, krijg je een fatsoenlijke oliebol. Maar het kan ook helemaal niets zijn en alles daartussen. Taai, droog en afwijkende smaak.",67.0,Gebakkraam A.J.T. Bierens en Zn-Kivits,Leiden,88.0,1.0,7.5
"6 voor 5,00","Langeweg 21, parkeerterrein Intratuin","Langeweg 21, Hendrik-Ido-Ambacht, Nederland",Voldoende,6.5,Veldmeijer verraste enkele jaren geleden met een fantastische oliebol. Zoals bij veel kramen lijkt dat een gelukstreffer en zit er onvoldoende continuïteit in het bakproces. Nu taai en klef. Zonde.,106.0,Oliebollenkraam Veldmeijer,Hendrik-Ido-Ambacht,89.0,0.9,7.86
"11 voor 8,00",Bossewaard,"Bossewaard, Zoetermeer, Nederland",Voldoende,6.5,"Maak de oliebol een beetje luchtiger, met iets meer vulling en de kwaliteit gaat met sprongen omhoog. Nu een te vast en compact bolletje met een te taaie korst.",99.0,Oliebollenkraam Meerzicht,Zoetermeer,90.0,0.8,10.5
"11 voor 8,00","Buitenplein, in winkelcentrum Stadshart","Buitenplein, Amstelveen, Nederland",Voldoende,6.5,"Lokaal bekend verkooppunt dat een deel van de omzet afstaat aan het Reumafonds. De opbrengst zou een stuk hoger zijn als er beter werd gebakken. Klef, compact en te weinig gevuld.",67.0,Hollandse Gebakkraam,Amstelveen,91.0,1.0,9.37
"10 voor 7,50",Westermarkt,"Westermarkt, Tilburg, Nederland",Voldoende,6.5,"De kwalificatie die het vaakst terugkeert is ‘vette oliebol’. Wel redelijk gevuld, maar de krenten en rozijnen geven maar weinig smaak af. Hier ligt een uitdaging.",95.0,Gebakkraam Arjaans,Tilburg,92.0,1.0,10.9
"10 voor 7,50",Rijnplein,"Rijnplein, Alphen aan den Rijn, Nederland",Voldoende,6.5,Een gebrek aan vulling kun je smaaktechnisch niet goedmaken door een overdaad aan vanillesuiker. De korst is taai en smaakt naar karton. Ook hier moet meer uit te halen zijn.,81.0,Hollandse Gebakkraam T. van de Weerdt,Alphen aan den Rijn,93.0,1.0,8.16
"13 voor 10,00",Rimsky-Korssakovweg,"Rimsky-Korssakovweg, Almere, Nederland",Voldoende,6.5,"Gelet op zijn uitleg is de oliebollenbakker van goede wil. Hij mist de technische vaardigheden om een en ander in de praktijk te brengen. Daar zijn cursussen voor. Een taaie bol, droog en compact.",90.0,Hollandse Gebakkraam Westenberg,Almere,94.0,0.9,9.04
"9 voor 8,00",Buma 1,"Buma 1, Amersfoort, Nederland",Voldoende,6.5,Te weinig krenten en rozijnen. Daar moet je als bakker niet op willen bezuinigen. De korst is niet lekker knapperig en ook dat kost punten. Kleine aanpassingen leveren waarschijnlijk een betere bol op.,88.0,Gouki de Oliebollenkoning Vathorst,Amersfoort,95.0,1.0,12.1
"10 voor 8,00",Nieuwe Markt,"Nieuwe Markt, Gouda, Nederland",Voldoende,6.5,Een van de sympathiekste oliebollenbakkers uit de branche heeft weer zijn uiterste best gedaan. Helaas laat de knapperigheid van de korst te wensen over en zou de bol iets luchtiger mogen.,92.0,Gebakkraam Verwijk,Gouda,96.0,1.0,8.11
"10 voor 8,00",’t Rond,"’t Rond, Houten, Nederland",Voldoende,6.5,Klef en vet. De korst lijkt op een lap verweerde huid die door een masseuse met olie onder handen is genomen. De hoeveelheid zout doet vermoeden dat er geen weegschaal is gebruikt.,96.0,Hollandse Gebakkraam Kers en Renes,Houten,97.0,1.0,9.74
None,Raadhuisplaza 6,"Raadhuisplaza 6, Heeswijk-Dinther, Nederland",Voldoende,6.5,Oliebollen zien van binnen geel. Ook hier weer veel te veel smaakjes in een bol. De knapperigheid van de korst wordt node gemist. Een gemiste kans.,96.0,Bakkerij Doomernik,Heeswijk-Dinther,98.0,0.85,10.4
"5 voor 4,00",Sint Adriaanstraat 1,"Sint Adriaanstraat 1, Goes, Nederland",Voldoende,6.5,"Deze Bakker Bart maakt zijn eigen oliebollen. Te donker, tegen het verbrande aan. En dat is allesbepalend voor de smaak. De structuur is het ook niet helemaal. Veel te droog mondgevoel.",73.0,Bakker Bart,Goes,99.0,0.85,10.3
"11 voor 8,00",Zeestraat,"Zeestraat, Volendam, Nederland",Voldoende,6.5,Verbrande vruchten aan de buitenzijde geven een bittere bijsmaak. De korst is taai en dat maakt het eten van deze oliebol een hele klus. Ook nog eens spekrandjes. Maar gauw vergeten.,85.0,Gebakkraam Dutch Bakery,Volendam,100.0,0.8,8.48
"12 voor 10,00",Bassin/Kasteelsingel,"51°15'26.6""N 5°42'14.4""E",Voldoende,6,Dit verkooppunt scoorde in 2012 als beste in Limburg. Maar ook hier blijkt dat het lastig is om het oude niveau vast te houden. Erg zoet door (te) veel vulling. N(i)et gaar. Ook te compact.,100.0,Hollandse Gebakkraam,Weert,101.0,1.0,7.66
"10 voor 7,00",Marktplein,"Marktplein, Nunspeet, Nederland",Voldoende,6,"Les 1: zorg voor een krokante korst. Dit is weer zo’n gummibolletje. De hoeveelheid vruchten is in orde, maar de smaak wordt desondanks overheerst door rijkelijk gestrooide vanillesuiker.",95.0,Gebakkraam Rovers Voogd & Kids,Nunspeet,102.0,1.0,5.81
"12 voor 8,00","Tarwelaan, winkelcentrum Vaartbroek","51°28'36.6""N 5°29'30.5""E",Voldoende,6,Vriendelijke verkoopster kan haar oliebollen op een paar punten nog wel verbeteren. Probeer de korst krokanter te krijgen en stop er wat meer krenten en rozijnen in. En een iets luchtiger beslag.,80.0,Gebakkraam Speelman,Eindhoven,103.0,0.8,6.98
"12 voor 10,00","Samuel Esmeijerplein, naast Jumbo","Samuel Esmeijerplein, Rotterdam, Nederland",Voldoende,6,"Een bol die maar op weinig waardering kan rekenen. Verbrande vruchten aan de buitenzijde, bloemklontjes en te vaste structuur vanbinnen. Olie met bijsmaak. Kijk nog eens goed naar het hele proces.",112.0,Oud Hollandse Gebakkraam Vlasblom,Rotterdam,104.0,0.9,6.7
"11 voor 9,00",’t Vlak,"’t Vlak, Barendrecht, Nederland",Voldoende,6,"Als het Ron Hoppema was gelukt om zijn korst lekker knapperig te krijgen, had hem dat een betere bol en een punt extra opgeleverd. Hij moet uitkijken met het toevoegen van extra smaken.",102.0,Gebakkraam ’t Vlak,Barendrecht,105.0,0.9,6.34
"12 voor 9,00",Siciliëboulevard,"Siciliëboulevard, Rotterdam, Nederland",Voldoende,6,"Een bolletje waar met weinig moeite meer van te maken is. Verbeter de korst, maak het geheel wat luchtiger en gebruik meer vruchten. Dan ook nog lang genoeg bakken, et voilà!",85.0,Oliebollenkraam Nesselande,Rotterdam,106.0,0.9,8.14
"10 voor 8,00","De Bolder, parkeerterrein winkelcentrum SuyderSee","De Bolder, Dronten, Nederland",Voldoende,6,Vergeleken met voorgaande jaren lijkt Van Loon de stijgende lijn vast te houden. Nu nog proberen om de korst iets meer bite te geven. Wat luchtiger deeg zou ook helpen.,97.0,Van Loon’s Gebakkraam,Dronten,107.0,0.9,10.9
"10 voor 9,00",Egelinglaan 8,"Egelinglaan 8, Zeist, Nederland",Voldoende,6,"Gelet op de vele mails wordt Bakker Albert door zijn klantenkring op handen gedragen. Maar vergelijkenderwijs komen zijn oliebollen er niet echt goed uit. Droog, compact en bijsmaakjes.",91.0,Bakker Albert,Zeist,108.0,0.95,9.9
"12 voor 10,00",Spoorstraat,"Spoorstraat, Den Helder, Nederland",Voldoende,6,"Nog niet onvoldoende, maar een oliebol waar je weinig plezier aan beleefd. Te vet, te veel suiker, te zachte korst, te weinig vulling en te vast. Kortom, volop werk aan de winkel.",77.0,Gebakkraam Maasakkers,Den Helder,109.0,1.0,11.8
"10 voor 8,00","Prinses Beatrixlaan, winkelcentrum In de Bogaard","52°02'07.1""N 4°18'58.4""E",Voldoende,6,"Aart van de Weerdt kan een goede oliebol bakken, maar op de een of andere manier komt dat er lang niet altijd uit. Deze bol bevat te veel fouten om onderscheidend te zijn.",112.0,Oud Hollandse Gebakkraam Aart van de Weerdt,Rijswijk,110.0,1.0,8.45
"10 voor 8,00",Spuiboulevard,"Spuiboulevard, Dordrecht, Nederland",Voldoende,6,"Ron teert op roem uit het verleden, maar het lijkt vergane glorie. Ooit nummer 1, nu 111. Grote bollen zijn deels niet gaar en schieten op smaak tekort. Laat baktechnisch te wensen over. Jammer.",127.0,Ron’s Gebakkraam,Dordrecht,111.0,1.0,13.0
"6 voor 5,00",Langestraat 58,"Langestraat 58, Barneveld, Nederland",Voldoende,6,"De Vries bakt zichzelf altijd in de middenmoot. Soms een puntje meer, soms één minder. Laat het dit keer vooral afweten op de korsteigenschappen. De bollen zijn aardig compact en ietwat taai.",85.0,Brood en Banket E. de Vries,Barneveld,112.0,0.9,7.57
"12 voor 10,00",Oude Kerkstraat/Voorstraat,"52°00'46.8""N 4°21'22.8""E",Voldoende,6,"Er wordt steeds beter gebakken, dus is het moeilijker je te onderscheiden. In die zin valt Denies door de mand. De bol heeft een goede korst, maar te weinig vulling en is aan de vette kant.",82.0,Hollandse Gebakkraam C. Denies,Delft,113.0,1.0,16.4
"11 voor 8,00","Simon Carmiggelthof, winkelcentrum ’t Hoge Veen","Simon Carmiggelthof,  Den Haag, Nederland",Voldoende,6,"Slappe korst en een vettige smaak. Ziet er aan de binnenkant uit als natte spons. Als je je ogen dichtdoet, valt de smaak nog wel mee. Maar echt lekker is toch weer iets anders.",71.0,Brabantse Gebakkraam,Den Haag,114.0,0.8,9.46
None,"Markthal, unit 41 & 42","Markthal, unit 41 & 42, Rotterdam, Nederland",Voldoende,6,"Stugge oliebol met droog mondgevoel. De smaak is niet eens zo slecht. De vulling had wat rijker gekund. Acceptabel, maar wie doe je hier nu een plezier mee?",97.0,Bakkerij Klok,Rotterdam,115.0,0.9,9.7
"8 voor 6,00",Stationsplein 1,"Stationsplein 1, Hilversum, Nederland",Voldoende,6,"Jan Stuy kreeg van het Bakkerij Centrum twee keer goud en dat deed hem enorm goed. De oliebollen zien er goed uit. Goudgeel, goede korst, maar de vulling valt wat tegen. Vrij vlak van smaak.",94.0,Gebakkraam Jan Stuy,Hilversum,116.0,0.9,7.77
"11 voor 8,00",Forum,"Forum, Almere, Nederland",Voldoende,6,"De oliebollen zien er goed uit, maar schijn bedriegt. Flauwe hap, vermoedelijk is het zout vergeten. Nauwelijks gevuld en met overheersende oliesmaak. Ze zijn ook te compact.",97.0,Oliebollenkraam Stuy-Boon,Almere,117.0,1.0,7.25
"10 voor 7,50",Oude Straat 75,"Oude Straat 75, Neede, Nederland",Voldoende,6,"Taaie, harde en droge korst omhult zurige, broodachtige inhoud. Als er met citrus is gewerkt, is dat veel te overheersend. Smaak wordt in het algemeen als ‘vreemd’ ervaren.",97.0,Bakkerij Jan en Richard Batist,Neede,118.0,0.85,12.1
"12 voor 9,00",Raadhuisplein,"Raadhuisplein, Nieuwerkerk aan den IJssel, Nederland",Voldoende,6,Dat moet voor Raymond Muller na alle topscores in de afgelopen jaren even schrikken zijn. Belangrijk minpunt is de te taaie korst en een bijsmaak aan de olie. Een dipje om snel te vergeten.,105.0,De Oliebollenbakkerij,Nieuwerkerk aan den IJssel,119.0,0.9,6.47
"11 voor 8,00","Farmsumerweg  130, parkeerterrein Gamma","Farmsumerweg  130, Appingedam, Nederland",Voldoende,6,De verkoper is blij dat hij na zoveel jaar ook in de Oliebollentest mag acteren. Zijn kleffe gummiballetjes lijken gevuld met stopverf. Zompige sponzen. De smaak valt nog mee. Volgend jaar beter?,89.0,Untied’s Gebakkraam,Appingedam,120.0,0.8,8.83
"10 voor 8,00","Edisonweg 4, parkeerterrein Makro","Edisonweg 4, Vianen, Nederland",Voldoende,6,Oliebollen in de categorie ‘het kan nog net’. De korst is zo slap als uitgelubberde huid die toe is aan een botoxbehandeling. Zompige sponzen. Voelt niet prettig in de mond.,72.0,Gebakkraam,Vianen,121.0,1.0,8.58
"10 voor 8,00","Kerkweg 28, parkeerterrein Intratuin","Kerkweg 28, Ter Aar, Nederland",Voldoende,6,"De zeer rijke vulling zorgt voor een stevige zoetheid, en die maskeert eventuele vette ellende. Door het hoge vochtgehalte aan de kleffe kant. Blijft kleven. Niet bepaald een hoogvlieger.",101.0,Hollandse Gebakkraam Ter Aar,Ter Aar,122.0,0.9,7.22
"4 voor 2,50",Emmaplein,"Emmaplein, Zeist, Nederland",Voldoende,6,De dikke en taaie korst  is kwistig bestrooid met vanillesuiker. Daardoor proef je vooral zoet en wordt het bitter van de verbrande vruchten gemaskeerd. Vraagtekens bij de olie.,83.0,Hollandse Gebakkraam,Zeist,123.0,1.0,12.8
"11 voor 9,00","Buiksloterweg, bij veerpont","52°22'56.3""N 4°54'12.5""E",Voldoende,6,De bollen liggen zwaar op de maag. Zijn maar net gaar en te weinig luchtig. De korst geeft evenmin aanleiding tot enthousiasme. Ook hier is een cursus de route naar succes.,91.0,Mirella’s Delicatesse Specialist,Amsterdam,124.0,1.0,8.4
"10 voor 7,00",Cornelis Troostplein,"Cornelis Troostplein , Amsterdam, Nederland",Voldoende,6,Erg donkere bollen met een verbrande smaak. Zijn maar net gaar en dat geeft dan weer klefheid. Enigszins tranige nasmaak. Tip: kom uit de kraam en vergelijk met de bollen van anderen.,75.0,Hollandse Gebakkraam J.C. van Gemert en Zn,Amsterdam,125.0,0.9,9.11
"12 voor 9,00",Mereveldplein,"Mereveldplein, De Meern, Nederland",Voldoende,6,"Sommige mensen gun je een hoge klassering en de familie Bischoff hoort daarbij. Maar de feiten spreken voor zich. Heeft na een eenmalige 9,5 in 2011 nooit meer dat niveau gehaald. Spijtig.",88.0,Gebakkraam Bischoff,De Meern,126.0,1.0,6.0
10 voor 7.50,Piazza Center 8,"Piazza Center 8, Gorinchem, Nederland",Voldoende,6,Een overdosis kaneel haalt veel van het fijne weg. De korst is veel te zacht en taai. Heeft meer weg van rozijnenbrood met kaneelsmaak dan van een echte oliebol. Kijk naar de receptuur.,92.0,Bakker Bas,Gorinchem,127.0,0.85,8.6
"11 voor 9,00",Dorpsstraat 1054,"Dorpsstraat 1054, Assendelft, Nederland",Voldoende,6,"Lex Brakenhoff gaf vorig jaar toe zich op de complexiteit van de oliebol te hebben verkeken. Ook dit jaar heeft hij er moeite mee. Cakeachtige structuur, weinig vulling. Aan de droge kant.",83.0,Bakkerij Brakenhoff,Assendelft,128.0,0.9,15.8
"9 voor 8,00",Hoofdstraat,"Hoofdstraat, Hoogeveen, Nederland",Voldoende,6,De buitenkant is veelbelovend: lekkere knapperige korst. Vanbinnen valt de bol tegen. De smaak van de olie overheerst en dat geeft geen prettig mondgevoel. Vanzelfsprekend ook klef.,99.0,Gebakkraam Gouki,Hoogeveen,129.0,0.9,9.04
"10 voor 9,50",Walstraat 90,"Walstraat 90 , Vlissingen, Nederland",Voldoende,6,Vrij donker gebakken bol. De korst wordt ervaren als dik en taai. Vlak van smaak en droog vanbinnen. Opvallend hoeveel bakkers hun tanden stukbijten op een product als de oliebol.,89.0,Echte Bakker Piet Daane,Vlissingen,130.0,0.98,9.62
None,Heistraat 30,"Heistraat 30, Sittard, Nederland",Voldoende,6,Roubroeks heeft duidelijk geprobeerd een oliebol met een frisse smaak te creëren. Dat is maar ten dele gelukt. Citrus overheerst. Heeft ook erg veel appel gebruikt. Aan de kleffe kant.,96.0,Echte Bakker Roubroeks,Sittard,131.0,0.97,12.2
"11 voor 9,00","Grotestraat, naast Oude Kerk","52°02'46.1""N 5°40'16.3""E",Voldoende,6,Oliebol met het uiterlijk van een wrattenzwijntje. Vulling op het overdadige af en daardoor erg zoet. De taaie en dikke korst laat zich niet gemakkelijk weghappen. Blijf het proberen.,101.0,Gebakkraam Kallenkoot,Ede,132.0,0.9,6.73
"10 voor 8,00",Kloosterplein,"Kloosterplein, Goirle, Nederland",Voldoende,6,Maak de korst krokanter en de waardering stijgt. Nu wordt de bol nog als taai ervaren. De vulling is aan de zuinige kant en daardoor minder smaakvol. Kijk uit met kaneel.,86.0,Dre’s Bakery,Goirle,133.0,1.0,5.92
"10 voor 7,00",Diepswal 21,"Diepswal 21, Scheemda, Nederland",Voldoende,5.5,Bakker Prins heeft er te veel toeters en bellen bijgesleept. Een orkestbak vol smaakjes en geurtjes met de structuur van cake. En met een dergelijke creatie zul je nooit erg hoog eindigen.,95.0,Bakker Prins,Scheemda,134.0,0.75,10.7
"9 voor 8,00",Menistenplein/Europaplein,"Europaplein, Stadskanaal, Nederland",Onvoldoende,5.5,"Vette kleffe tandenplakker. De korst is zo taai dat de oliebol nog het meest weg heeft van een rubberen hondenspeeltje. O, het is de bedoeling dat je dit eet? Nee, bedankt.",80.0,Arjaans Gebak,Stadskanaal,135.0,1.0,10.8
"10 voor 7,50",Noordwijkerweg 3,"Noordwijkerweg 3, Kornhorn, Nederland",Onvoldoende,5.5,"Een oliebol behoort goudgeel van kleur te zijn, deze zijn bijna zwart. De korst smaakt bitter, de vulling valt mee. Hoe bedrijfsblind moet je zijn om dergelijke oliebollen mee te geven?",96.0,Bakkerij Kolthof,Kornhorn,136.0,0.8,8.98
"11 voor 8,00",Stadhuisplein,"Stadhuisplein, Lelystad, Nederland",Onvoldoende,5.5,"Je levert een vette, kleffe bol die nergens naar smaakt. En als je daarop wordt aangesproken, roep je dat het om een ‘ambachtelijk product’ gaat. Flauwekul, deze test gáát over vakmanschap.",87.0,Ben’s Oliebollen,Lelystad,137.0,0.8,16.5
"11 voor 9,00","Gageldijk 3, parkeerterrein tuincentrum Overvecht","Gageldijk 3, Utrecht, Nederland",Onvoldoende,5.5,"Een oliebol, het woord zegt het al, mag best wat olie bevatten. Maar je kunt overdrijven. En door (te) weinig vruchten proef je alleen zompig deeg. En dat is niet erg lekker.",85.0,Gebakkraam Verwijk,Utrecht,138.0,0.9,7.52
"11 voor 9,00",Dr. Struyckenplein,"Dr. Struyckenplein, Breda, Nederland",Onvoldoende,5.5,"Het knapperig krijgen van de korst blijkt voor veel bakkers een niet te nemen hindernis. Jammer, want daar valt zoveel winst te behalen. Ook hier is taai het struikelblok. Weer erg veel smaakjes.",94.0,Hollandse Gebakkraam Denies,Breda,139.0,1.0,7.93
"10 voor 7,50","Euromarkt, parkeerterrein Gamma","52°07'36.1""N 4°39'01.7""E",Onvoldoende,5.5,Van Melvin Kabalt is bekend dat hij veel energie stopt in het maken van mooie oliebollen. Toch werpen die inspanningen lang niet altijd vrucht af. Taai en klef. Dat zou je anders willen.,98.0,Gebakkraam Kabalt,Alphen aan den Rijn,140.0,1.0,5.36
"12 voor 9,00","Vuursteen, parkeerterrein winkelcentrum Ypenburg","52°02'25.3""N 4°22'09.4""E",Onvoldoende,5.5,"Als je oliebol zegt, denk je niet aan deze misbaksels. Amper gevuld, heel klef. Bijsmaak aan de olie. Braakbal is misschien te veel gezegd, maar een oprisping krijg je er zeker van.",80.0,Gebakkraam John Vermolen,Den Haag,141.0,0.9,7.59
"6 voor 5,50",Picassopassage,"Picassopassage, Capelle aan den IJssel, Nederland",Onvoldoende,5.5,"Je moet niet de vergissing begaan deze oliebollen te willen eten. Taai en klef, niet gaar. Maar een beetje hengelaar kan ze natuurlijk gebruiken als alternatief voor boilies bij het karperen.",108.0,Gebakkraam De Haan,Capelle aan den IJssel,142.0,1.0,8.61
"13 voor 10,00","Het Spaanse Leger 1, parkeerterrein Intratuin","52°12'54.3""N 5°28'31.5""E",Onvoldoende,5.5,"De eigenaar wil graag nieuw beslag maken en het AD is bereid 45 minuten te wachten. Dan verwacht je ook iets. Helaas: niet gaar, klef en plakkerig. Proeve van onbekwaamheid met succes afgelegd.",82.0,Oliebollenkraam Brunselaar,Nijkerk,143.0,1.0,10.4
"10 voor 7,00",Raadhuisplein,"Raadhuisplein, Pijnacker, Nederland",Onvoldoende,5.5,"Uitbater onthaalt verslaggever in parkeergarage volkomen uit het niets op scheldpartij. Als je zelf al vermoed dat je oliebollen niet voor consumptie geschikt zijn, waarom verkoop je ze dan?",90.0,Hollandse Gebakkraam,Pijnacker,144.0,0.8,6.43
None,Drilleveld 1,"Drilleveld 1, Nieuwegein, Nederland",Onvoldoende,5.5,"Na veel hogere noteringen in voorgaande jaren laat Sterk nu een flinke steek vallen. Vlak van smaak, mede door te weinig vulling. Ook klef. Afwijkende geur. Snel vergeten maar.",97.0,Bakkerij Sterk,Nieuwegein,145.0,0.9,9.98
"11 voor 8,00",Slinge/Schuddebeursstraat,"51°52'30.2""N 4°28'00.5""E",Onvoldoende,5.5,"Een elektrische fiets is wel handig om van rozijn naar rozijn te fietsen. Neem er wel een met terreinbanden, anders blijf je zeker in de rauwe, kleffe deegmassa steken. Bah!",122.0,Gebakkraam,Rotterdam,146.0,0.8,4.45
"9 voor 8,00",Singel,"Singel, Deventer, Nederland",Onvoldoende,5.5,"Een puber van een oliebol, gekweld door een ernstige vorm van acne. Overdadige vulling doet de bol geen goed. Ook de smaak valt erg tegen. Olie met bijsmaak.",88.0,Gebakkraam M.G. de Weijer,Deventer,147.0,1.0,6.17
"10 voor 5,00",bij winkelcentrum City Plaza,"52°01'43.5""N 5°04'54.6""E",Onvoldoende,5.5,Benjamin is het rustiger aan gaan doen en introduceert een opvolger. Of dat een goed idee is? Er valt nog veel te leren. Bijvoorbeeld: voeg voldoende vruchten toe. En maak de bol iets luchtiger.,69.0,Benjamin’s Hollandse Oliebollenkraam,Nieuwegein,148.0,0.7,8.14
"12 voor 8,00",Kanaalstraat 50,"Kanaalstraat 50, Utrecht, Nederland",Onvoldoende,5,"Vlaai & Ko geeft zichzelf op voor de oliebollentest, maar blijkt deze in te kopen bij bakker Vincent uit Bilthoven. Taaie, kleffe deegbal, zepige bijsmaak en ook bitter. Jakkes. De samenwerking is beëindigd.",77.0,Vlaai & Ko,Utrecht,149.0,0.8,8.28
"10 voor 7,00",Van Eesterenplein,"Van Eesterenplein, Dordrecht, Nederland",Onvoldoende,5,Ook hier is het AD bereid te wachten om Reemer de gelegenheid te geven optimaal te scoren. Maar deze kans voor open doel wordt niet benut. Taaie bol met weinig vulling en vreemde bijsmaakjes.,82.0,Dordtsche Gebakkraam Reemer,Dordrecht,150.0,0.8,6.4
"10 voor 8,00",Grote Markt,"Grote Markt , Groningen, Nederland",Onvoldoende,5,"Nee, neem het niet letterlijk, maar het is of deze bollen in wc-eend zijn gebakken. Sterke chemische geur van schoonmaakmiddel. Klef, taai en tranig. Absolute treurigheid.",89.0,Gebakkraam Wiltjer-Fogerty,Groningen,151.0,0.9,5.97
"11 voor 8,00",Achter het Veer,"Achter het Veer, Geldermalsen, Nederland",Onvoldoende,5,‘Vettige smakeloosheid’ noteert een panellid en dat schetst het aardig. Tel daar een taaie korst bij op en het ontbreken van fatsoenlijke vulling: dit bolletje mag worden afgeserveerd.,72.0,Betuwse Gebakkraam,Geldermalsen,152.0,0.9,6.93
"11 voor 8,00",Koopmansplein,"Koopmansplein, Assen, Nederland",Onvoldoende,5,Iedere oliebollenbakker kent het: soms heb je een beslagje dat het net niet helemaal heeft. Spelbrink heeft de laatste 5 jaar altijd hoger gescoord. Laten we daar dan maar op afgaan.,110.0,Drentse Gebakkraam Chris Spelbrink,Assen,153.0,0.9,7.01
"10 voor 7,00",Westdam,"Westdam, Woerden, Nederland",Onvoldoende,5,"Een oliebol zoals je die niet wilt hebben. Is het een kauwgombal of te gebruiken als stopverf? Nee, het is toch kleefpasta. Doodzonde om hier je zuurverdiende geld aan uit te geven.",97.0,Oud Hollandse Gebakkraam Muller,Woerden,154.0,1.0,6.98
"7 voor 5,00",Hondsdijk 1,"Hondsdijk 1, Culemborg, Nederland",Onvoldoende,5,"Noodkreet van panellid: ,,Ik wil de smaak beoordelen, maar dan moet die er wel zijn.’’ Weinig vulling, voornamelijk smaak van deeg en olie. En daarmee kom je niet hoog op de ranglijst.",58.0,Betuwse Gebakkraam,Culemborg,155.0,1.0,14.0
"10 voor 7,00","Achterhofweg 28, parkeerterrein Intratuin","Achterhofweg 28, parkeerterrein Intratuin, Enschede, Nederland",Onvoldoende,5,"Natte, kleffe misbaksels. Vette platte schijven met een taaie korst, niet gaar. Oneetbaar. Maar een positief ingesteld mens ziet dat deze 5 een grote verbetering is ten opzichte van de 1 in 2009.",62.0,Gebakkraam Marco van Raaij,Enschede,156.0,0.8,9.83
"12 voor 8,00",Winkelcentrum Horstacker,"51°50'02.1""N 5°47'36.0""E",Slecht,4.5,Uitbater noemt zijn eigen bollen ‘luchtig en knapperig’. Daar heeft het panel een andere mening over. Deze bollen zijn vet. Is de temperatuur van de olie wel in orde?,76.0,Gebakkraam Daniel de Voer,Nijmegen,157.0,0.9,9.24
